Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
fake,Information/Guides,How to Beat a Urine Test,How to Beat a Urine Test,0.01910802556862747 BTC,,,4.782/5,
fake,Information/Guides,13 Ways to Know if the Government is Reading Your Email,13 Ways to Know if the Government is Reading Your Email,0.027633168931297705 BTC,,,4.782/5,
fake,Information/Guides,DANGEROUS IP LIST,BIG LIST OF DANGEROUS IP  Defense Information Systems Army Information Systems Center DoD Intel Information Systems  Defense Intelligence Agency  Washington DC US Defense Information Systems Age ...,0.02326755684210528 BTC,,,4.782/5,
passman,Information/Guides,10 Second Sexual Attraction,"10 Second Sexual Attraction: This is our most anticipated  most demanded  and hottest selling new product. The ""10SSA"" training system is the ultimate blueprint to ""Natural Game"" for nighttime  dayti ...",0.020969638947368422 BTC,,,4.946/5,
passman,Information/Guides,Cardable Casino Site List,Cardable Casino Site List,0.015577795074626864 BTC,,,4.946/5,
fake,Information/Guides,HOW TO AVOID HIGH IMPORT TAXES,HOW TO AVOID HIGH IMPORT TAXES,0.04860462858333333 BTC,,,4.782/5,
fake,Information/Guides,SELF DESTRUCTING SMS,HOW TO SEND SELF DESTRUCTING SMS,0.024891344351145053 BTC,,,4.782/5,
fake,Information/Guides,Security Devices And How To Remove Them,Security Devices And How To Remove Them  tutorial,0.029563169917355366 BTC,,,4.782/5,
passman,Information/Guides,ATM Cash Machine Hack  Withdraw 50 Get 200,This includes a Step by Step guide and Manuals  it doesn`t get better than this.  These Atm`s can be found all over the world in Arcades/Malls  General Stores  Bars/Pubs  Gas/Petrol Stations  Corne ...,0.10830735862318842 BTC,,,4.946/5,
fake,Information/Guides,HOW TO GET A FREE XBOX,HOW TO GET A FREE XBOX  EASY TUTORIAL,0.06130197561983473 BTC,,,4.782/5,
passman,Information/Guides,How To Avoid HIGH Import Taxes,In this guide you will learn how to easily avoind paying high import taxes.,0.060020607822580646 BTC,,,4.946/5,
GetBTC,Information/Guides,How to Hack Steam Accounts - Guide AND Software,Included here is a guide and piece of software which was custom written so you can use to hack into Steam accounts. The guide is very simple  and the software is easy to use  so if you like Steam gam ...,0.0023380947619047613 BTC,,,~5/5,
fake,Information/Guides,How Police Interrogation Works,How Police Interrogation Works  GUIDE,0.018699671384615375 BTC,,,4.782/5,
fake,Information/Guides,How to Bypass Phone/SMS Verification,How to Bypass Phone/SMS Verification   TUTORIAL,0.02484875155038762 BTC,Torland,,4.782/5,
fake,Information/Guides,CASH DUMPS AND PINS,TUTORIAL It applies mostly to the US  but others can pick up some tips too. How to cash out Dump + PIN and sleep peacefully at night  what is there to fear? And the most importantly – how are they ...,0.0310757954961832 BTC,,,4.782/5,
Hackyboy,Information/Guides,APPLE SCAM : French guide,Technique de scam du SAV d'APPLE 100% fonctionnelle,0.05402134711864407 BTC,Torland,,4.92/5,
fake,Information/Guides,MDMA MAKING ULTIMATE GUIDE,THE ULTIMATE MDMA MAKING GUIDE  TOTAL SYNTHESIS II,0.06153760710743802 BTC,,,4.782/5,
fake,Information/Guides,5 ATM HACKING TUTORIAL,Admin logins and manuals If an ATM dispenses $20 bills You could use this hack to set it to think it is giving you $1 bills. Insert prepaid Visa And withdraw $100. you get 100 $20 bills.  Mini-Ban ...,0.1086670723255814 BTC,Torland,,4.782/5,
Hackyboy,Information/Guides,Big carding guides pack,A pack with 12 guides about carding  includes :   - ALIEXPRESS CARDING METHOD - Carding bases Guide - Carding security guide - Carding tutorial for Noobs - HOW CASHOUT CC METHOD 2014 NO VBV/MSC ...,0.19820705933333327 BTC,Torland,,4.92/5,
fake,Information/Guides,BANK AND HARMORED CARD ROBBERY,BANK AND HARMORED CARD ROBBERY  TUTORIAL,0.031290092846153854 BTC,,,4.782/5,
fake,Information/Guides,CHANGE ID BIBLE,CHANGE ID BIBLE   EBOOK  Contents Introduction 1. Find A Place To Live Anonymously. 2. How To Buy And Rent A Car Anonymously 3. Work - Anonymously And LEGALLY 5. How To Get A Bank Account Anon ...,0.04712148212598425 BTC,,,4.782/5,
Hackyboy,Information/Guides,3 ways to cashout Paypal,Easy guide to carding and cashout Paypal.    3 working methods.,0.05845646987654322 BTC,EU,,4.92/5,
fake,Information/Guides,INSTORE CARDING TUTORIAL,Everything you wanted to know about instore carding  Introduction So youre interested in trying out instore carding? Instore carding is one of the fastest ways to get money. But you will need to  ...,0.021769493153846162 BTC,,,4.782/5,
Hackyboy,Information/Guides,HOW PREVENT A DNS LEAK WHEN USING VPN,When you use a VPN service  the DNS request should instead be routed through the VPN tunnel to your VPN provider’s DNS servers (rather than those of your ISP).     However  it is quite common fo ...,0.025751842676056333 BTC,Torland,,4.92/5,
secretsquirrel2,Information/Guides,How To Cover Your Tracks,Please excuse my poor english - I'm german so it's not my mother language I'm writing in. Anyway if your english is far better than mine  then don't think this text hasn't got anything to offer you ...,0.00415549 BTC,,,~5/5,
fake,Information/Guides,Cracking the Universal Product Code,Cracking the Universal Product Code  TUTORIAL,0.009387880076923084 BTC,,,4.782/5,
fake,Information/Guides,How to Encrypt your Skype Messages Using Pidgin,How to Encrypt your Skype Messages Using Pidgin,0.02178251893939394 BTC,,,4.782/5,
fake,Information/Guides,hack remote computer using IP Address- noob friendly,How to hack remote computer using IP Address- noob friendly  tutorial,0.0219491712878788 BTC,,,4.782/5,
fake,Information/Guides,HOW TO HACK CREDIT OR DEBIT CARDS PASSWORD,HOW TO HACK CREDIT OR DEBIT CARDS PASSWORD,0.05939620164062503 BTC,,,4.782/5,
fake,Information/Guides,Fake ID's For the Moronic Teenager,Fake ID's For the Moronic Teenager Okay  in light of recent events  people asking me to make them ID’s  people being stupid  and me having to much time on my hands  I have decided to write this gui ...,0.015512799612403094 BTC,,,4.782/5,
fake,Information/Guides,ANONYMOUS CHAT,INCLUDE:  1 PRIVATE CHAT SOFTWARE 1 ANONYMOUS ONLINE CHAT 1 SELF DESTRUCTIONG MESSAGES SYSTEM 1 TUTORIAL : HOW TO ENCRYPT FACEBOOK CHAT,0.031046050152671752 BTC,,,4.782/5,
fake,Information/Guides,Set Up A TOR Middlebox Routing All VirtualBox Virtual Machine Traffic Over The TOR Network,How To Set Up A TOR Middlebox Routing All VirtualBox Virtual Machine Traffic Over The TOR Network  This tutorial will show you how to reroute all traffic for a virtual machine through the Tor net ...,0.021581800156250004 BTC,,,4.782/5,
Hackyboy,Information/Guides,FUCK PAYPAL AND EBAY RESTRICTIONS,Guide includes :     - Basic Stealth Information for eBay and PayPal  - Safety Guide for PayPal  - Safety Guide for eBay How to not get Limited,0.03857588228571429 BTC,Torland,,4.92/5,
fake,Information/Guides,How to Forge Email,How to Forge Email  +  HOW TO SEND FAKE EMAILS,0.015695258062015504 BTC,,,4.782/5,
Hackyboy,Information/Guides,CVV to Moneygram cashout,How to cashout Moneygramm method    Working  TESTED ONLY WITH US CC,0.02474352294871794 BTC,,,4.92/5,
Hackyboy,Information/Guides,HOW USE BITCOIN ANONYMOUSLY,Contents :   - Setting Up an Anonymous Bitcoin Wallet  - Getting Bitcoins Anonymously  - Spending Bitcoin Anonymously  - Receiving Bitcoinq Anonymously  - Remaining Anonymous When Using Bi ...,0.02506158635135135 BTC,Torland,,4.92/5,
secretsquirrel2,Information/Guides,Defeating Electromagnetic Door Locks at convenence stores  gas stations ect,Electromagnetic locks on the doors to keep them locked while the clerk is occupied cleaning the store at night so robbers can't ambush him while he's out from behind the bulletproof glass. These lock ...,0.00415549 BTC,Torland,,~5/5,
fake,Information/Guides,Key Generator - How to make key generators.,Key Generator - How to make key generators. (5 Pages)  This Tutorial will teach you how to make a pretty simple keygen of a program called W3Filer 32 V1.1.3.  W3Filer is a pretty good web downloa ...,0.01553076915384615 BTC,,,4.782/5,
fake,Information/Guides,GUIDE TO POSTAL SMUGGLING,GUIDE TO POSTAL SMUGGLING CONTENT:  1.How to Make the USPS Work for YOU 2.Internal Canadian Mail 3.Comparision US Canadian (UK) laws 4.What You Should Know About PO Boxes 5.What Happens Betwee ...,0.04218575666666668 BTC,,,4.782/5,
secretsquirrel2,Information/Guides,Anonymity complete GUIDE,Nowadays  everyone wants privacy on the web  because no matter where you go  someone could be watching you. Someone like your employer  someone trying to hack your system  companies gathering all you ...,0.00415549 BTC,,,~5/5,
fake,Information/Guides,COMMUNICATIONS (CLANDESTINE),"The Sicilian Mafia has a maxim: ""If you can say it  do not write it. If you can grunt it  do not say it."" Many clandestine operatives have a “Keltic distrust of the written word.” On the other han ...",0.013197688173913045 BTC,,,4.782/5,
fake,Information/Guides,Improving Your Credit Score,101 Powerful Tips for Legally Improving Your Credit Score    Table of Contents Introduction 2 The Basics 3 The BestWays to Boost Your Credit Score 5 Keep Your Credit Score Safe 7 Avoid Comm ...,0.029170098629032252 BTC,,,4.782/5,
passman,Information/Guides,How To Setup Zeus Botnet Step By Step Tutorial With Pictures,How To Setup Zeus Botnet Step By Step Tutorial With Pictures  Zeus botnet can be found here: agorabasakxmewww.onion/p/ub88zfS2Ch  First of all I want to tell you that ZeuS Bot is the most illegal ...,0.06296691038167943 BTC,,,4.946/5,
toysoldiers,Information/Guides,Android complete TOR guide,This guide has download links and instructions for complete anonymity on android devices.,0.009046878 BTC,Torland,,4.94/5,
passman,Information/Guides,ALIEXPRESS Carding Method,New! ALIEXPRESS Carding Method (Working)  Easy way to get free stuff from Aliexpress. New method  not in any way similar to other carding methods.,0.03129061511278195 BTC,,,4.946/5,
fake,Information/Guides,BASICS OF A CON ( OR SCAM ),BASICS OF A CON ( OR SCAM )  Basics of a Con A con (or scam) in short is a fraudulent attempt into tricking someone into parting with their money through deception. This type of fraud relies hea ...,0.015867559999999982 BTC,,,4.782/5,
optiman,Information/Guides,Almost FREE EBOOK - How To Eat Pussy,The guide is almost FREE just because we cannot choose 0 for the price:)  Guide to oral sex how to eat pussy. A guide teaches you how to eat pussy and turn her crazy. This book is for free! Just  ...,0.0003427901851851852 BTC,USA,Worldwide,5.00/5,
fake,Information/Guides,How to create an encrypted folder,How to create an encrypted folder  TUTORIAL,0.013277207105263159 BTC,,,4.782/5,
passman,Information/Guides,Encrypt Your Computer And Stay Safe Guide,Why should I use Encryption?  Encryption is a must for anyone doing anything illegal or blackhat through the use of a computer.  Even if you are not participating in blackhat activities  there ar ...,0.015516606304347818 BTC,,,4.946/5,
fake,Information/Guides,SECURE INSTANT MESSENGER,SAFE INSTANT MESSENGER SOFTWARE       Chat  p2p Email  e*IRC.     8 public/priv. RSA-Keys.     Secure End-to-End-Encryption (AES).     SSL-Connections.     Authentication (optional).     Dist ...,0.028393630236220463 BTC,,,4.782/5,
fake,Information/Guides,CARDING TRICKS FROM AN INSIDER 2014,CARDING TRICKS FROM AN INSIDER 2014  a very interesting interview with a bank employee that worked in the credi card fraud department of one big american bank  lot of unknown tips to card safely,0.06248964741666667 BTC,,,4.782/5,
passman,Information/Guides,How To Profit Illegally From Bitcoin Cybercrime And Much More,How to profit illegally from Bitcoin  cybercrime and much more  This article proposed various ways to illegally monetize Bitcoin virtual currency scheme.,0.062080866893939386 BTC,,,4.946/5,
fake,Information/Guides,LITTLE FRAUDS PACK,-FREE FOOD FROM FASTFOOD COMPANIES -HOW TO EAT IN ANY HOTEL'S BUFFET. FREE OR ALMOST-FREE -HOW TO GET $3000+. A BIT HARD TO EXECUTE -THE ART OF AMAZON GIFT CARD SCAMMING -HOW TO GET AN AMAZON KIN ...,0.01666330433628319 BTC,,,4.782/5,
fake,Information/Guides,HOW TO CASHOUT STOLEN PAYPAL ACCOUNTS,HOW TO CASHOUT STOLEN PAYPAL ACCOUNTS  100% WORKING   OR I REFUND  VERY NICE TUTORIAL   NOOBS FRIENDLY,0.07797079033613441 BTC,,,4.782/5,
passman,Information/Guides,CRIMINAL PSYCHOLOGY EBOOK,CRIMINAL PSYCHOLOGY EBOOK,0.0030849691791044764 BTC,,,4.946/5,
passman,Information/Guides,5 Unique And Easy Ways To Make a Living Online 2014,5 Unique And Easy Ways To Make a Living Online 2014,0.025999061249999993 BTC,,,4.946/5,
fake,Information/Guides,SPREAD YOUR RAT BOT TROJAN - TUTORIAL,How To SPREAD YOUR RAT BOT TROJAN - TUTORIAL  This is a step by step guide with the help of pictures that will teach you how to spread your trojan very fast and easily.  In this guide you will le ...,0.03135023519685039 BTC,,,4.782/5,
fake,Information/Guides,List of Hacking Scripts for Metasploit's Meterpreter,Please note that new meterpreter scripts are being developed every day. This list attempts to provide you with a complete list of scripts as of this writing.,0.016586686521739134 BTC,,,4.782/5,
passman,Information/Guides,Western Union Carding / E.x.p.l.o.i.t,NOT INCLUDED IN ANY OF MY OTHER CARDING GUIDES!!  Western Union Carding / E.x.p.l.o.i.t  The tutorial it's awesome. One of the many advantages of my tutorials  methods and schemes is that inform ...,0.062084663805970136 BTC,,,4.946/5,
GetBTC,Information/Guides,Paypal Accounts for Sale 300 000+ Autoshop - URL Link,This listing is for a link to the ultimate Paypal autoshop  which currently has over 300 000 hacked paypal accounts for sale  with fresh paypal stock added all the time.  The great advantage of usi ...,0.02946185416666667 BTC,,,~5/5,
passman,Information/Guides,Rootkits  Keyloggers  RAT's  Trojans and Much More!!!,This pack will include a group of ebooks that will help you create and use exploits to create keyloggers  trojans  RAT's and many other rootkit sort of tools.  This is a very comprehensive collecti ...,0.031149707500000005 BTC,,,4.946/5,
fake,Information/Guides,how to check your IP is blacklisted on paypal,how to check your IP is blacklisted on paypal or clear on paypal. Since we know that paypal system is very sensitive about IP detection..If your IP is blacklisted then maybe your paypal account got ...,0.03301479813559323 BTC,,,4.782/5,
passman,Information/Guides,2 Freelancer Cashout Methods,This is a new and noob friendly cashout method. Not included in any of my other cashout collection. This is a unique method.  If you have any question feel free to ask and also check out my other  ...,0.01564380335820896 BTC,,,4.946/5,
fake,Information/Guides,PAYPAL AUTOSHOP LINK - 450 000 ACCOUNTS IN DATABASE,I WILL GIVE YOU A LINK TO THE BEST PAYPAL AUTOSHOP OF THE NET,0.03215903871559635 BTC,,,4.782/5,
fake,Information/Guides,EXTREME ADVANCED ONION ROUTER,EXTREME ADVANCED ONION ROUTER    is a portable client for the OR network and is intended to be an improved alternative for Tor+Vidalia+Privoxy bundle for Windows users. Some of the improvements i ...,0.022178597076923098 BTC,,,4.782/5,
passman,Information/Guides,7 Methods To Cashout Credit Cards Into BTC,This listing is a combination of guides and a personal technique  discovered by myself  to purchase bitcoins with fraudulently obtained credit and debit card data (cash out). This is   by far  the mo ...,0.10937314977443609 BTC,,,4.946/5,
